series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,1,,Silviu Dragomir,Scriitorii raguzani şi refrenul colindelor noastre,5,5,12,"— L'auteur signale le fait, presque inconnu de ceux qui chez nous s'in- téressent au folklore, que chez nombre d'écrivains de Raguse des XVI et XVII-èmes siècles l'on trouve le leit-motiv « Hoja, Lero, Dolerije », presque identique au refrain des Noëls roumains « Oi 1er oi d'ai 1er oi ». On doit écarter l'hypothèse selon laquelle on aurait à faire ici au nom d'une vieille divinité slave. L'auteur avance quelques ar- guments philologiques et ethnographiques qui confirment — ce que M. Gavazzi a soutenu dès 1923 — l e fait que nous avons ici un élément emprunté aux Noëls («co- linde ») des Valaques et des Maurovalaques. Ces Roumains slavisés de la Péninsule Balkanique, dont la présence à Raguse a été par ailleurs prouvée, ont gardé dans leur vie et leurs coutumes certaines traces de roumanisme, dont le leit-motiv ci-dessus.","presque, raguse, leit, motiv, noels","presque, raguse, leit, motiv, noels",yes,5,11,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/001-scriitorii-raguzani-si-refrenul-colindelor-noastre.pdf,5,11,5,11,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,2,,S T . Petruţiu,«Mironosiţele». O dramă religioasă din ţinutul Săliştei,13,13,30,"L'auteur montre que ce drame religieux est l'unique « mystère de la Passion » que connaisse le folklore roumain. On le joue durant les fêtes de Pâques en Transylvanie (région de Sălişte-Sibiu et de Teiuş- Alba). Cette représentation est d'origine récente, du milieu du XlX-ème siècle. Elle a été donnée pour la première fois à Sălişte, étant l'œuvre de l'écrivain populaire Pro- copiu Pieu Petruţ. Le poème présente de frappantes analogies avec la représentation des Mages, à Noël, aussi bien par la structure de la versification que par la mise en scène. Dans ce drame aucune influence des Passions connues dans l'Europe Occiden tale. Il est presque certain que les Mages ont été les inspirateurs et les modèles de ce mystère pascal. Ce mystère est composé de quelques scènes relatives à la Passion du Christ, en particulier aux lamentations de la Vierge Marie et des « saintes femmes » près du Saint Tombeau. Les personnages du drame sont : la Vierge Marie, les « saintes femmes » Marie-Madeleine, Salome, Jeanne, Suzanne, puis le Christ, l'Ange, le centurion Lon- gin, un prêtre et l'apôtre Pierre, tous interprêtés par des fillettes et des garçons du village, entre 1 2 et 15 ans. Comme dans le «jeu des Mages», la troupe des «saintes femmes » a coutume de se rendre dans les villages des alentours. La planche représente le groupe des « saintes femmes » de Galeş (arrondissement de Sălişte) en 1895. Suit le texte du drame, tel qu'il est donné au cours de la représentation.","drame, saintes, femmes, mystere, saliste","drame, saintes, femei, mystere, saliste",yes,13,29,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/002-mironositele-o-drama-religioasa-din-tinutul-salistei.pdf,13,29,12,29,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,3,,P. V. Ştefănucă,Cercetări folklorice în Valea Nistrului-de-Jos,31,31,228,"— L'auteur déjà connu par un travail publié dans notre second annuaire, (pp. 89—180) a poursuivi ses recherches dans la même province et cette fois dans 1 0 villages situés dans la Bessarabie sud-orientale, où des populations roumaines, russes et ukrainiennes forment un intéressant complexe folklorique. Après une introduction qui constitue une véritable petite monographie de la région (histoire, état écono- mique, occupations, habitations, ressources, types humains, costumes, vie religieuse. dialectes et folklore), suit un très riche recueil sur les cérémonies périodiques, les cou tumes sur la vie, du berceau à la tombe, et de nombreux textes de littérature populaire (chansons, contes, légendes, superstitions, magie, etc.). Les textes sont accompagnés d'un glossaire et d'une carte de la région explorée (p. 227). Tl.","region, textes, deja, connu, travail","regiune, textes, deja, connu, travail",yes,31,226,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/003-cercetari-folklorice-in-valea-nistrului-de-jos.pdf,31,226,30,226,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,4,,TiRERiu MoRARiu,"Contribuţiuni la aprinderea « focului viu » în Ar deal, Maramureş şi Bucovina",229,229,236,"—Parmi les coutumes les plus intéressantes conservées dans quelques coins plus retirés des Carpathes roumaines, on trouve celle du feu « vif ». L'importance de cette coutume no consiste pas seulement dans le fait qu'on allume le feu vivant par frottement, grâce à deux morceaux de bois secs, mais surtout dans les nombreuses croyances et superstitions qui s'y rattachent et qui nous expliquent le caractère presque sacré de ce « feu vivant » dans l'esprit des pâtres de ces régions. Enumérons tout d'abord les divers procédés dont on se sert pour l'allumer. 1. On enfonce dans le sol deux morceaux de bois, bien secs, à un mètre l'un de l'autre. Chaque piquet a été percé d'un trou à mi-hauteur; entre les deux pièces de bois, on place un autre bâton, à l'extrémité duquel se trouve un morceau d'amadou. Une corde met en mouvement ce bâton transversal et le frottement devient si fort que l'a madou s'enflamme (Fig. 1 et Pl. I, 1, 2). Les bois enfoncés dans la terre sont souvent remplacés par deux minces troncs de sapins issus d'une même souche. 2. On place entre deux pièces de bois une troisième; par un frottement rapide, ces morceaux de bois se réchauffent à tel point, qu'en approchant un objet inflam mable celui-ci prend feu (Fig. 2). 3. On fixe un pieu en terre; sur son extrémité supérieure amincie, tourne une plan chette garnie d'amadou. Par le tournoiement de la planchette, l'amadou prend feu. 4. On frotte deux pièces de bois, dont l'une est prise verticalement et l'autre per pendiculairement (Fig. 4 et Pl. II, 1 ) . Une variante de ce système est de frotter deux planches en un mouvement de scie <Fig. 5 et Pl. II, 2). S- On introduit dans un sapin sec un morceau de bois dur, ayant au bout de l'a madou. En lui imprégnant un mouvement tournant de va-et-vient entre les paumes, l'amadou s'enflamme (Fig. 6, 7 et Pl. III, 1 ) . 6. Après avoir percé un morceau de bois en son milieu, on introduit l'amadou, dans le trou. On le frotte ensuite avec une corde jusqu'à ce qu'il prend feu (Fig. 8 et Pl. III, 2). Comme nous le disions plus haut, un grand nombre de croyances et de coutumes sont liées à l'allumage, à l'entretien et à l'emploi du feu vivant. Par son caractère sacré, ce feu a, en effet, la vertu de défendre les troupeaux contre les différents dangers qui les menacent : mauvais esprits, bêtes sauvages, épidémies et même l'orage. Pour échapper à tant de menaces, toutes les brebis doivent sauter par dessus le feu vivant, installé devant le parc à moutons; il arrive même qu'on en cercle tout le troupeau d'un cordon de fumée émanant de ce feu. Dans les cas plus graves d'épizootie, on creuse sur le versant de la colline une sorte de tunnel, dans le quel est placé un brasier; le troupeau tout entier doit traverser ce tunnel, se purifiant ainsi et échappant à l'épidémie.","bois, amadou, vivant, frottement, morceaux","bois, amadou, vivant, frottement, morceaux",yes,229,236,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/004-contributiuni-la-aprinderea-focului-viu-in-ar-deal-maramures-si-bucovina.pdf,229,237,227,237,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,5,,Ionmuşlea,Materiale pentru cunoaşterea răspândirii « focului viu » la Români,237,237,242,"— Faisant suite à l'appel par lequel Mr. T. Morariu termine son article publié dans ce même Annuaire (pp. 229—236), l'auteur relève quelques témoignages ignorés sur l'existence du feu vivant dans les littératures rou maine, hongroise et russe. Le plus important est celui concernant la Bessarabie, pro vince dans laquelle cette manière d'allumer le feu n'était pas encore connue. Tout 267 aussi intéressantes paraissent étre quelques-unes des 15 informations provenant du matériel inédit de l’« Archive de Folklore de l’Académie Roumaine », surtout celles qui ont trait ă la Valachie, contrée dans laquelle le feu vivant était jusqu’a present aussi inconnu. Bibliographie du folklore roumain (année 1935) (pp. 243— 261). Rapport sur Pactivité de li Archive de Folklore de l’Académie Roumaine » pour les années 1935—36. Tableau des publications reçues en échange (pp. 263—264).","quelques, vivant, laquelle, faisant, suite","quelques, vivant, laquelle, faisant, suite",yes,237,242,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/005-materiale-pentru-cunoasterea-raspandirii-focului-viu-la-romani.pdf,237,243,238,243,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,6,,,Bibliografia folklorului românesc pe anul 1935,243,243,262,,"bibliografia, folklorului, romanesc, anul","bibliografia, folklorului, romanesc, anul",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/006-bibliografia-folklorului-romanesc-pe-anul-1935.pdf,243,261,244,261,yes
Seria I (1932-1945),aaf-seria1-1937-vol-iv,1937,IV,4,7,,,Raport anual (1935—36),263,263,,,"raport, anual","raport, anual",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1937_004.pdf,4,264,ingest/series1/issues/aaf-seria1-1937-vol-iv/articles/007-raport-anual-1935-36.pdf,263,263,262,263,yes
