series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,1,,Ion Muşlea,Ovid Densusianu folklorist,I,1,6,"(p. 1—6). Le professeur de philologie romane à l’Université de Bucarest a déployé une grande activité dans tous les domaines du folklore roumain. Ainsi il s’est occupé à recueillir et à populariser des textes de littérature populaire; il a laissé des études trés appréciées, il a tracé des voies nouvelles dans le domaine de cette discipline et il fut l’initiateur de recueils, d’études et de publications folkloriques. Etant donné cette fertile et précieuse activité, il est estimé, à juste titre, comme le plus important folkloriste roumain.","activite, etudes, professeur, philologie, universite","activite, studii, professeur, philologie, universite",yes,1873,1938,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/001-ovid-densusianu-folklorist.pdf,1,6,5,10,yes
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,2,,N. P. Smochină,Din literatura populară a Românilor de peste Nistru,7,7,78,"Si le folklore roumain n'a pas connu de recueils de folklore bessarabien d'une impor- tance et d'une valeur scientifique particulière jusqu'aux enquêtes parues dans nos Annuai- res (vol. Il et IV), nous disposions encore moins de matériaux folkloriques provenant des Roumains d'au-delă du Dniester. L'auteur, lui-même d’origine transnistrienne, nous donne un grand nombre de textes recueillis dans les années 1922-24 et 1934-38 chez les Roumains d’au-delà du Dniester, réfugiés en Bessarabie, après la fondation de la République Moldave. Après la présentation des recueils folkloriques transnistriens connus jusqu’à présent, suivent des riches matériaux provenant de tous les domaines de la littérature populaire (ballades, chansons, noëls, chants de noce, devinettes, contes, incantations, etc.) et un glossaire.","recueils, jusqu, materiaux, folkloriques, provenant","recueils, jusqu, materiaux, folkloriques, provenant",yes,7,56,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/002-din-literatura-populara-a-romanilor-de-peste-nistru.pdf,7,7,11,11,yes
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,3,,Traian German,Tovărăşiile de Crăciun ale feciorilor români din i Ardeal,,57,77,"À l’occasion des fêtes de la Noël, les jeunes hommes de la majorité des villages roumains de ‘Transylvanie s’organisent en confréries, en vue des nombreux divertissements auxquels s’adonne la jeunesse lors de la Noël, du jour de l’An et de l’Epiphanie. Les jeunes hommes élisent leurs chefs dès le dernier jour gras. Ils apprennent ensemble des noëls, font des provisions d'aliments et de boisson et invitent les jeunes filles — parfois aussi les notables de la commune — aux festins, aux danses et divertissements organisés par eux. La confrérie se dissout d’habitude à l’Epiphanie, Tout se passe suivant de vieux rites. Cette tradition, qui se trouve en voie de disparition dans beaucoup de contrées, offre des traits intéressants surtout dans la région Sud-Est de la Transylvanie (départements de Sibiu—Fägäras—T'ârnave). Les deux planches représentent: I. 1. La confrérie des jeunes hommes de Tilișca, dép. Sibiu, en 1936. 2. L’acquisition des provisions par les membres de la même confrérie. IT. x. La confrérie des jeunes hommes de Boholt, dép. Făgăraş, en 1935. 2. » » » » » Gusu, dep. Sibiu, fête le maître d’école du village. 3. Chefs de la méme confrérie invitant les jeunes filles du village a préparer les mets pour les repas de la confrérie.","jeunes, confrerie, hommes, sibiu, noel","jeunes, confrerie, hommes, sibiu, noel",yes,57,77,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/003-tovarasiile-de-craciun-ale-feciorilor-romani-din-i-ardeal.pdf,57,79,7,83,no
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,4,,Ion Breazu,Versuri populare în manuscrise ardelene vechi,79,79,110,"Pour se rendre compte du nombre des chansons populaires qui ont circulé avant le recuei] d’Anton Pann (1830) ou celui d’Alecsandri (1852) — con- sidérés d'habitude comme ayant eu un rôle capital dans l’eveil de Pinterât pour la litté- rature populaire chez les Roumains —, il faut avoir recours aux vieux manuscrits, encore insuffisamment explorés 4 ce point de vue. C'est ce que fait l’auteur en reproduisant une série de chansons populaires découvertes dans des manuscrits transylvains du XVIII-e et de la première moitié du XIX-e siècle. La majorité sont des chants d’en- terrement ou des chants qui se rattachent à certaines fêtes de l’année; les auteurs de ces vers sont des chantres d’église ou des moines. Mais il y a aussi quelques chansons d’origine laique, qui ont un caractére folklorique plus marqué. Il est utile de connaitre ces chansons, tant pour se faire une idée de leur circulation dans le temps et dans Pes- pace, que pour l’étude de certains thèmes de la littérature populaire et du folklore roumain.","chansons, populaires, populaire, manuscrits, chants","cântece, populare, popular, manuscrise, chants",yes,75,110,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/004-versuri-populare-in-manuscrise-ardelene-vechi.pdf,79,111,84,115,yes
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,5,,Emil Petrovici,Folklor delà Moţii din Scărişoara,III,111,176,"On a plusieurs fois prétendu ces derniers temps que le folklore manque presque totalement chez les habitants roumains de la région transylvaine, connue sous le nom de « Munţii Apuseni ». L’auteur prouve, par le présent recueil et par l’etude qui le précède, combien riches sont les matériaux qu'on peut trouver chez les Motzi, même dans un délai très court (quelques jours) si on sait comment il faut s’y prendre. Toujours dans l’intro- duction, on trouve une foule de détails peu connus concernant la vie de cette intéres- sante race des Motzi. Les textes collectionnés par 12 informateurs, dans le même village, comprennent des matériaux relatifs aux cérémonies périodiques et aux coutumes con- cernant la vie du berceau à la tombe, des chansons, noëls, contes, devinettes, chants d’enterrement, incantations et pratiques magiques. Ces textes offrent en outre un inté- rêt tout spécial par la langue présentant la particularité du rhotacisme, que l’on parle dans la région. C’est pourquoi l’auteur lui consacre une petite étude (voir aussi le glos- saire (p. 169—175). Très précieuses sont aussi les riches informations concernant la nomenclature et la technique de la fabrication des seaux et des baquets en bois: occupation principale des hommes. La plupart des planches illustrent d’ailleurs ce métier. Elles représentent: I. 1. Église et cimetière du hameau Gârda-de-Sus. 2. « Sulife » (lances) posées sur les tombeaux. II. 1. Maison des « Motzi » avec chambre de provision et remise. 2. Paysage du pays des « Motzi ». 3. Transport des baquets (à dos de cheval) de la montagne à la remise. 4. Remise du cabaretier de Gârda-de-Sus. III. 1—4. Les différentes étapes de la fabrication des seaux et des baquets. IV. ı. Une autre étape de la fabrication des objets en bois. 2—4. Vieux costumes en cours de disparition. Bibliographie du folklore roumain (années 1936-37) {p. 177—212). Rapport sur l’activité de l'Archive de Folklore de l’Académie Roumaine pour les années 1937-38. Tableau des publications reçues en échange (p. 213—214). : 6179 ""45. 4.1939 ge ATL DD AI . ne à de tes.","motzi, fabrication, baquets, remise, region","motzi, fabrication, baquets, remise, regiune",yes,111,175,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/005-folklor-dela-motii-din-scarisoara.pdf,111,180,116,184,yes
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,6,,,Bibliografia folklorului românesc pe anii 1936—1937,177,177,212,,"bibliografia, folklorului, romanesc, anii","bibliografia, folklorului, romanesc, anii",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/006-bibliografia-folklorului-romanesc-pe-anii-1936-1937.pdf,177,216,185,220,yes
Seria I (1932-1945),aaf-seria1-1939-vol-v,1939,V,5,7,,,Raport anual (1937-38),213,213,,,"raport, anual","raport, anual",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1939_005.pdf,4,223,ingest/series1/issues/aaf-seria1-1939-vol-v/articles/007-raport-anual-1937-38.pdf,213,218,221,222,yes
