issue_slug,total_toc_entries,matched_summaries,unmatched_entries,match_rate_percent
aaf-seria1-1932-vol-i,8,6,2,75.0
aaf-seria1-1933-vol-ii,9,6,3,66.7
aaf-seria1-1935-vol-iii,8,4,4,50.0
aaf-seria1-1937-vol-iv,7,5,2,71.4
aaf-seria1-1939-vol-v,7,5,2,71.4
aaf-seria1-1942-vol-vi,10,6,4,60.0
aaf-seria1-1945-vol-vii,9,5,4,55.6
