series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,3,,P. V. Ştefănucă,"Folklor din judeţul Lăpuşna """,9,89,180,"Plusieurs causes ont empêché, pendant la domination russe, de collectionner le folklore de la Bessarabie roumaine. C'est ainsi que ce premier recueil, riche et méthodique, appor- tant un matériel vaste et varié provenant de tous les domaines d u folklore (littérature populaire, cérémonies périodiques et coutumes concernant la vie du berceau à la tombe, magie, etc.) présente de précieux documents pour les folkloristes. La collection est précédée d'une introduction, dans laquelle on présente la région où l'on a fait les re- cherches et ses habitants, ainsi que d'une esquisse sur les genres du folklore. Les textes sont suivis d'un glossaire et d'une carte de la région explorée (p. 1 7 6 ).","presente, region, plusieurs, causes, empeche","presente, regiune, plusieurs, causes, empeche",yes,89,180,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/003-folklor-din-judetul-lapusna.pdf,89,179,92,183,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,4,,Ion Breazu,Jules Michelet şi folklorul românesc,181,181,194,"Dans sa brochure sur les « Principautés danubiennes Madame Rosetti », publiée avec un « Appendice », pour la première fois dans les « Légendes démocratiques du Nord » (Paris, 1 8 5 4 ) , Michelet a utilisé le folklore roumain. C'est ainsi qu'il donne la version française des ballades « Mihu Copilul » (« Mihu le jeune ») et « Mioriţa » (« La petite brebis »). Ces ballades et deux autres encore, de même qu'un fragment sur les coutumes de mariage chez les Roumains (extrait de la « Description de la Moldavie » de D. Cantemir), lui ont été fournis par C. A. Rosetti et I . Voinescu I I . Dans la même plaquette, Michelet s'est servi aussi des matériaux folkloristiques fournis par Dimitrie Brătianu, ainsi que de l'ouvrage de A. de Gérando sur « La Transylvanie et ses habitants » (Paris, 1 8 4 5 ) . La plus grande partie de l'article repose sur la correspondance inédite entre Michelet et ses élèves roumains.","michelet, rosetti, paris, ballades, mihu","michelet, rosetti, paris, ballades, mihu",yes,181,193,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/004-jules-michelet-si-folklorul-romanesc.pdf,181,192,184,196,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,5,,Ion Muşlea,Variantele ' româneşti ale snoavei despre femeia ne credincioasă,195,195,216,"Le professeur Walter Anderson (« Der Schwank vom alten Hildebrand », Dorpat, 1 9 3 1 ) a étudié à fond les variantes universelles du conte enregistré dans le catalogue Aarne-Thompson sous le No. 1 3 6 0 C. Ne possédant que deux (puis trois) variantes roumaines, l'« Arhiva de Folklor a Academiei Romane » a distribué une circulaire pour rechercher les versions de ce conte. L'enquête a apporté 2 2 variantes roumaines, ce qui prouve que le conte en question est très populaire parmi les Roumains, ainsi que deux versions ukraniennes (ces deux-là provenant de Bukovine). L'auteur fait une analyse des nouvelles variantes roumaines et s'efforce d'éclaircir certains détails et particularités, aboutissant à cette conclusion que les Roumains ont emprunté le conte aux Ukraniens et l'ont passé ensuite aux Serbes. Une carte (p. 2 1 4 ) montre la propagation des variantes roumaines et des variantes des peuples voisins.","variantes, conte, versions, professeur, walter","variantes, poveste, versions, professeur, walter",yes,195,216,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/005-variantele-romanesti-ale-snoavei-despre-femeia-ne-credincioasa.pdf,195,214,197,218,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,6,,G. Bogdan-Duică,încă un folklorist saxo-român,217,217,220,"L'échange de lettres des années 1 8 5 5 — 5 9 entre le professeur saxon de Sibiiu, Johann Cari Schuller ( 1 7 9 4 — 1 8 6 5 ) et le professeur roumain Dr. Athanasie Şandor d'Arad, concernant les recherches sur la littérature populaire roumaine qui intéressait les deux savants. Bibliographie des travaux concernant le folklore et l'ethnographie, publiées par l'Aca démie Roumaine ( 1 8 6 7 — 1 9 2 9 ) jusqu'à la création de son «Archive folklorique», p. 2 2 1 — 2 2 7 ) . Bibliographie du folklore roumain (années 1 9 3 1 — 1 9 3 2 ) (p. 2 2 9 — 2 4 6 ) . Rapport sur l'activité de /'« Archive de Folklore de l'Académie Roumaine » pour l'année 1 9 3 2 . Tableau des publications reçues en échange (p. 2 4 7 — 2 4 8 ).","echange, annees, professeur, concernant, bibliographie","echange, annees, professeur, concernant, bibliografie",yes,217,220,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/006-inca-un-folklorist-saxo-roman.pdf,217,218,219,222,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,7,,,Bibliografia lucrărilor de cuprins folkloric şi etnografic publicate de Academia Română (1867—1930),221,221,228,,"bibliografia, lucrarilor, cuprins, folkloric, etnografic","bibliografia, lucrarilor, cuprins, folkloric, etnografic",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/007-bibliografia-lucrarilor-de-cuprins-folkloric-si-etnografic-publicate-de-academia-romana-1867-1930.pdf,221,225,223,229,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,8,,,Bibliografia folklorului românesc pe anii 1931—1932,229,229,246,,"bibliografia, folklorului, romanesc, anii","bibliografia, folklorului, romanesc, anii",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/008-bibliografia-folklorului-romanesc-pe-anii-1931-1932.pdf,229,243,230,247,yes
Seria I (1932-1945),aaf-seria1-1933-vol-ii,1933,II,2,9,,,Raport anual (1932),247,247,,,"raport, anual","raport, anual",no,,,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1933_002.pdf,4,250,ingest/series1/issues/aaf-seria1-1933-vol-ii/articles/009-raport-anual-1932.pdf,247,247,248,249,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,1,,Ion Muşlea,Ion Bianu şi folklorul nostru,I,1,6,"Par suite de la mort du professeur Bianu, l'« Arhiva de Folklor a Academiei Romane » perd un de ses amis les plus dévoués. Bianu a toujours été vivement intéressé par tout ce qui touchait à la vie paysanne. Il était trop pris par ses multiples charges pour pouvoir s'adonner au folklore, comme il l'aurait, à coup sûr, souhaité Toutefois il a écrit quelques articles, a édité quel ques recueils et a fondé la grande collection de folklore de l'Académie Roumaine (40 volumes). 1/«Arhiva de Folklor a Academiei Romane », qui lui doit tant, a reçu de lui, à plusieurs reprises, des notes de folklore. La plus importante concerne une pratique magique pour la protection des vignobles (publiée à la page 4 — 5 , en note), sur laquelle l'Archive a entrepris une enquête.","bianu, arhiva, folklor, academiei, suite","bianu, arhiva, folklor, academiei, suite",yes,1,6,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/001-ion-bianu-si-folklorul-nostru.pdf,1,6,5,10,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,2,,Ion Diaconu,Psihologie şi creaţie populară,7,7,24,"Les recherches concer nant la genèse et l'évolution de la littérature populaire — dans le genre de celles de O. Bôckel, O. Schell, J. Tiersot, E. Wechsler — n'ont été abordées dans le folklore rou main que dans les tout derniers temps. O. Densusianu, P. Cancel et T. Papahagi sont les seuls qui aient écrit avec compétence dans cette direction. Au point de vue strict de la psychologie de la création populaire, il faut retenir les noms des deux derniers. Papahagi, s'appuyant sur un riche matériel folklorique, recueilli dans l'archaïque pays de Maramureş, conclut que le genre épique paraît être la création exclusive de l'homme, mais s'est conservé à l'aide de la mémoire, grâce à la femme. Les ballades roumaines ont leur origine dans la vie collective du village, ainsi que dans la vie pastorale ; elles gagnent ensuite en perfection grâce à une circulation intense. Les opinions de Cancel sont cer tainement plus cohérentes, seulement elles ne partent pas des manifestations folkloriques roumaines, mais des observations de M. Murko sur la poésie yougoslave. Cancel distingue dans l'existence de chaque motif poétique populaire la création primordiale et la circu lation. Son argumentation claire tend a établir que n'importe quand la création initiale est un fait individuel, quoique la poésie serbe prouve la collaboration collective à l'in térieur de petits groupes. En opposition avec la sociologie de Durkheim, avec l'ethno- psychologie de Lazarus et Steinthal, comme aussi avec la «Volkerpsychologie » de Wundt — lesquels voient dans les valeurs spirituelles des produits de la collectivité —, Cancel conclut que n'importe quelle création populaire est par excellence une oeuvre individuelle. L'auteur adhère aux opinions de Cancel, avec les réserves qu'elles comportent : il repousse la collaboration même en petits groupes. Les milieux roumains qu'il a obser vés — surtout le Pays de Vrancea, ou il lui paraît qu'est née «Mioriţa », le chef d'oeuvre de la littérature populaire roumaine — prouvent indubitablement que, dans la création comme dans la propagation de tel motif poétique, il ne s'agit que d'un seul individu, mais particulièrement doué. Alors même qu'un motif se cristallise pendant un temps assez long, correspondant à la durée de quelques générations — comme c'est le cas pour le poème • Mioriţa » —, ce ne sont jamais que quelques individualités exceptionnelles qui jouent un rôle de premier plan. La création populaire roumaine n'est pas impro visation — comme dans le cas de la littérature serbe indiqué par Murko, celui des Corses que rapporte A. de Croze, celui de ces « serenata » de la Provence dont parle J. Tiersot, ou celui des Basques. Elle est parfaitement unitaire, c'est à dire que des motifs fonda mentaux circulent de manière stéréotype sur des aires géographiques vastes, mais dis tantes ; donc la refonte par une circulation intense fixe toute la poésie populaire rou maine. Cette stereotypic prouve ainsi que dans sa structure la création populaire rou maine est é'aborée — contrairement à l'improvisation, qui ne garde pas de cadres fixes, mais se trouve dans une transformation continue, comme par exemple chez les peuples du midi.","populaire, creation, cancel, litterature, poesie","popular, creation, cancel, literatură, poezie",yes,7,23,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/002-psihologie-si-creatie-populara.pdf,7,23,11,27,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,3,,Emil Petrovici,Folklor din Valea Almăjului \S,25,25,158,"Dans la partie sud- est du Banat roumain, les 15 villages de la Vallée d'Almăj (Valea Almăjului, départ. Caras) sont situés dans un bassin entouré de montagnes boisées. L'auteur a étudié dans six de ces villages la langue et le folklore qui présentent maints traits archaïques. Il y a trouvé des matériaux très riches et intéressants relatifs aux cérémonies périodiques et aux coutumes concernant la vie du berceau à la tombe, beaucoup de pratiques magiques et d'incantations, quelques ballades en voie dt disparition, des chansons, des légendes, des traditions, etc. Les textes (numérotés de 1 à 170 — p. 60—145) sont précédés d'une introduction (p. 26—59) qui s'occupe du caractère du pays, des habitants, de leur parler et du folklore. Les textes sont suivis d'un glossaire, d'une carte de la région explorée (p. 158) et de deux planches qui représentent : I. 1. Le village de Borlovenii-Vechi 2. Une rue du village de Bănia. II. 1. Une femme de Bănia 2. Une femme de Pătaş portant de la braise au cimetière sur la tombe d'un mort, suivant le rite quotidien 3. Un homme de Pătaş.","villages, tombe, textes, village, bania","sate, tombe, textes, sat, bania",yes,25,158,/Users/liviupop/Downloads/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/003-folklor-din-valea-almajului-s.pdf,25,159,28,163,yes
