series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,1,,Ion Muşlea,Ion Bianu şi folklorul nostru,I,1,6,"Par suite de la mort du professeur Bianu, l'« Arhiva de Folklor a Academiei Romane » perd un de ses amis les plus dévoués. Bianu a toujours été vivement intéressé par tout ce qui touchait à la vie paysanne. Il était trop pris par ses multiples charges pour pouvoir s'adonner au folklore, comme il l'aurait, à coup sûr, souhaité Toutefois il a écrit quelques articles, a édité quel ques recueils et a fondé la grande collection de folklore de l'Académie Roumaine (40 volumes). 1/«Arhiva de Folklor a Academiei Romane », qui lui doit tant, a reçu de lui, à plusieurs reprises, des notes de folklore. La plus importante concerne une pratique magique pour la protection des vignobles (publiée à la page 4 — 5 , en note), sur laquelle l'Archive a entrepris une enquête.","bianu, arhiva, folklor, academiei, suite","bianu, arhiva, folklor, academiei, suite",yes,1,6,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/001-ion-bianu-si-folklorul-nostru.pdf,1,6,5,10,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,2,,Ion Diaconu,Psihologie şi creaţie populară,7,7,24,"Les recherches concer nant la genèse et l'évolution de la littérature populaire — dans le genre de celles de O. Bôckel, O. Schell, J. Tiersot, E. Wechsler — n'ont été abordées dans le folklore rou main que dans les tout derniers temps. O. Densusianu, P. Cancel et T. Papahagi sont les seuls qui aient écrit avec compétence dans cette direction. Au point de vue strict de la psychologie de la création populaire, il faut retenir les noms des deux derniers. Papahagi, s'appuyant sur un riche matériel folklorique, recueilli dans l'archaïque pays de Maramureş, conclut que le genre épique paraît être la création exclusive de l'homme, mais s'est conservé à l'aide de la mémoire, grâce à la femme. Les ballades roumaines ont leur origine dans la vie collective du village, ainsi que dans la vie pastorale ; elles gagnent ensuite en perfection grâce à une circulation intense. Les opinions de Cancel sont cer tainement plus cohérentes, seulement elles ne partent pas des manifestations folkloriques roumaines, mais des observations de M. Murko sur la poésie yougoslave. Cancel distingue dans l'existence de chaque motif poétique populaire la création primordiale et la circu lation. Son argumentation claire tend a établir que n'importe quand la création initiale est un fait individuel, quoique la poésie serbe prouve la collaboration collective à l'in térieur de petits groupes. En opposition avec la sociologie de Durkheim, avec l'ethno- psychologie de Lazarus et Steinthal, comme aussi avec la «Volkerpsychologie » de Wundt — lesquels voient dans les valeurs spirituelles des produits de la collectivité —, Cancel conclut que n'importe quelle création populaire est par excellence une oeuvre individuelle. L'auteur adhère aux opinions de Cancel, avec les réserves qu'elles comportent : il repousse la collaboration même en petits groupes. Les milieux roumains qu'il a obser vés — surtout le Pays de Vrancea, ou il lui paraît qu'est née «Mioriţa », le chef d'oeuvre de la littérature populaire roumaine — prouvent indubitablement que, dans la création comme dans la propagation de tel motif poétique, il ne s'agit que d'un seul individu, mais particulièrement doué. Alors même qu'un motif se cristallise pendant un temps assez long, correspondant à la durée de quelques générations — comme c'est le cas pour le poème • Mioriţa » —, ce ne sont jamais que quelques individualités exceptionnelles qui jouent un rôle de premier plan. La création populaire roumaine n'est pas impro visation — comme dans le cas de la littérature serbe indiqué par Murko, celui des Corses que rapporte A. de Croze, celui de ces « serenata » de la Provence dont parle J. Tiersot, ou celui des Basques. Elle est parfaitement unitaire, c'est à dire que des motifs fonda mentaux circulent de manière stéréotype sur des aires géographiques vastes, mais dis tantes ; donc la refonte par une circulation intense fixe toute la poésie populaire rou maine. Cette stereotypic prouve ainsi que dans sa structure la création populaire rou maine est é'aborée — contrairement à l'improvisation, qui ne garde pas de cadres fixes, mais se trouve dans une transformation continue, comme par exemple chez les peuples du midi.","populaire, creation, cancel, litterature, poesie","popular, creation, cancel, literatură, poezie",yes,7,23,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/002-psihologie-si-creatie-populara.pdf,7,23,11,27,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,3,,Emil Petrovici,Folklor din Valea Almăjului \S,25,25,158,"Dans la partie sud- est du Banat roumain, les 15 villages de la Vallée d'Almăj (Valea Almăjului, départ. Caras) sont situés dans un bassin entouré de montagnes boisées. L'auteur a étudié dans six de ces villages la langue et le folklore qui présentent maints traits archaïques. Il y a trouvé des matériaux très riches et intéressants relatifs aux cérémonies périodiques et aux coutumes concernant la vie du berceau à la tombe, beaucoup de pratiques magiques et d'incantations, quelques ballades en voie dt disparition, des chansons, des légendes, des traditions, etc. Les textes (numérotés de 1 à 170 — p. 60—145) sont précédés d'une introduction (p. 26—59) qui s'occupe du caractère du pays, des habitants, de leur parler et du folklore. Les textes sont suivis d'un glossaire, d'une carte de la région explorée (p. 158) et de deux planches qui représentent : I. 1. Le village de Borlovenii-Vechi 2. Une rue du village de Bănia. II. 1. Une femme de Bănia 2. Une femme de Pătaş portant de la braise au cimetière sur la tombe d'un mort, suivant le rite quotidien 3. Un homme de Pătaş.","villages, tombe, textes, village, bania","sate, tombe, textes, sat, bania",yes,25,158,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/003-folklor-din-valea-almajului-s.pdf,25,159,28,163,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,4,,Boj . Oga,Raportul din 1756 al unui chirurg german despre credinţele Românilor asupra moroilor,159,159,168,,"raportul, unui, chirurg, german, despre","raportul, unui, chirurg, german, despre",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/004-raportul-din-1756-al-unui-chirurg-german-despre-credintele-romanilor-asupra-moroilor.pdf,159,160,164,164,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,5,,Ion Muşlea,Alte variante româneşti ale snoavei despre femeia necredincioasă,169,169,176,"Revenant sur l'article publié dans le tome précédent (p. 195—216), l'auteur présente et analyse 21 variantes nouvelles que l'on a pu recueillir grâce au concours des corres pondants de l'Archive, pendant les années 1933—34. L'aire de diffusion du conte chez les Roumains s'élargit ainsi considérablement—surtout grâce aux variantes notées dans le Banat (1) et en Bucovine (2) ; dans un seul département de Transylvanie (Hu nedoara) on a recueilli six variantes, ce qui prouve que le motif est encore bien vivant dans le milieu paysan roumain. Les conclusions de la contribution précédente ne subissent pas de grands changements, mais se trouvent plutôt confirmées par les nouvelles variantes.","variantes, nouvelles, grace, revenant, publie","variantes, nouvelles, grace, revenant, publie",yes,169,176,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/005-alte-variante-romanesti-ale-snoavei-despre-femeia-necredincioasa.pdf,169,177,164,181,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,6,,P. V. Ştefănucă,Contribuţie la bibliografia studiilor şi culege rilor de folklor privitoare la Românii din Basarabia şi po poarele conlocuitoare — publicate în periodicele iik-eţt,177,177,188,,"contributie, bibliografia, studiilor, culege, rilor","contributie, bibliografia, studiilor, culege, rilor",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/006-contributie-la-bibliografia-studiilor-si-culege-rilor-de-folklor-privitoare-la-romanii-din-basarabia-si-po-poarele-conlo.pdf,177,189,182,193,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,7,,,Bibliografia folklorului românesc pe anii 1933—34,189,189,210,,"bibliografia, folklorului, romanesc, anii","bibliografia, folklorului, romanesc, anii",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/007-bibliografia-folklorului-romanesc-pe-anii-1933-34.pdf,189,210,194,214,yes
Seria I (1932-1945),aaf-seria1-1935-vol-iii,1935,III,3,8,,,Raport anual '1933—34),211,211,,,"raport, anual","raport, anual",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1935_003.pdf,4,217,ingest/series1/issues/aaf-seria1-1935-vol-iii/articles/008-raport-anual-1933-34.pdf,211,212,215,216,yes
