series,issue_slug,year,volume,issue_number,toc_index,section,author,title,pages_start_label,pages_start,pages_end,abstract_fr,keywords_fr,keywords_ro,summary_matched,summary_pages_start,summary_pages_end,source_pdf,toc_page_pdf,summary_start_page_pdf,article_pdf_path,split_pages_start_pdf,split_pages_end_pdf,split_source_start_pdf,split_source_end_pdf,split_title_ok
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,1,,Ion Mjuşlea,Prefafă,V,5,11,"Brève biographie du grand savant, mort à Londres en 1939, e\ liste de ses travaux folkloriques (p. 4—6). L'auteur de la notice commente les 12 lettres reçues de Gaster entre 1893 et 1937, lettres qu'il donne in extenso. Elles témoignent du vif intérêt et de l'amour que Gaster éprouva pour le folklore roumain, jusque dans les dermlères années d'un âge avancé. TATIANA GÄLUSCÄ, ./Mocanii"". Un jeu dramatique des Roumains de Dobroudja (p. 12—33). Vers te milieu du siècle dernier, de nombreux Roumains du Sud-Est de la Transylvanie se sont établis en Dobroudja avec leurs troupeaux de moutons ; ils sont connus sous le nom de „Mocani"". Isolés dans leurs bergeries („târle""), menant une vie simple, dure et pleine de dangers, leur seul divertissement était, lors des grandes fêtes de Noël, du Jour de l'An ou de la Saint-Georges, la représentation d'un jeu dra- matique, inspiré de leur genre de vie et portant leur nom. L'auteur a eu la chance de surprendre, en 1937, une des dernières représentations de cette pièce dans un village du département de Tulcea. Trois ans plus tard, elle a procédé à sa reconstitution. Le thème de la pièce est simple : les moutons d'une bergerie s'égarent par suite du manque de surveillance des bergers et des chiens, et sont poursuivis par le loup. Les bergers aprerment la chose et, dans leur affliction, chantent un chant de tristesse. Plus tard, ils retrouvent le troupeau, se réjouissent, dansent eit chantent. L'auteur donne des détails attestant cette coutume ou le souvenir qui en persiste dans divers villages des départements de Tulcea et de Constantza, et elle décifit le processus de disparition de cet usage. Les planches de la p. 24 reproduisent quatre scènes de la reconstitution de la pièce. Deux scènes représentent l'arrivée des Mocani devant une maison où ils veulent jouer la pièce (I, 1 et 2); les autres représentent le moment ou les bergers apprennent la perte du troupeau (II, 1), puis, où ils se réjouissent d'avoir retrouvé les moutons (II, 2). L'âne, le loup, les chiens et les moutons sont figurés par des enfants recouverts de peaux de moutons. À la page 17 sont reproduits les deux airs les plus importants joués au cours de ce jeu dramatique.","moutons, piece, bergers, lettres, gaster","moutons, piece, păstori, lettres, gaster",yes,1,11,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/001-prefafa.pdf,5,5,8,8,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,2,,Artur Gorovei,M. Gaster şi folkiorul românesc,1,,,,"gaster, folkiorul, romanesc","gaster, folkiorul, romanesc",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/002-m-gaster-si-folkiorul-romanesc.pdf,6,16,9,19,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,3,,Tatiana Găluşcă,"""Mocanii"". Un. joc dramatic al Românilor din Dobrogea",12,12,34,,"mocanii, dramatic, romanilor, dobrogea","mocanii, dramatic, romanilor, dobrogea",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/003-mocanii-un-joc-dramatic-al-romanilor-din-dobrogea.pdf,12,41,20,44,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,4,,G H . Pavelescu,Cercetări folklorice în Sudul judefului Bihor .',35,35,122,"Conformément à un plan déjà ancien, l'Archive a chargé l'auteur d'étu- dier, en 1940, une petite région intéressante du sud du dép. de Bihor (cf. la carte, p. 34). Une riche introduction donne le tableau ethnographique de la région et nous présente les occupations, l'habitation, le vêtement, la nourriture et le caractère moral des habitants; après quoi vient l'étude du folklore. Les 216 textes comprennent des matériaux relatifs aux cérémonies périodiques et aux coutumes concernant la vie du berceau à la tombe, des ballades, des chansons, noëls, devinettes, incantations, pra- tiques magiques et contes. Le parler de la région présente aussi de l'intérêt (voir le glossaire, p. 120—122). i 200 | BIBLIOGRAFIA FOLKLORULUI ROMÂNESC Sur ies planches (p. 48): vues sur les villages de Poiana et Vărzari, sglise en bois “de Petroasa; vieille paysanne ; maison et grange de la region.","region, presente, conformement, plan, deja","regiune, presente, conformement, plan, deja",yes,35,122,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/004-cercetari-folklorice-in-sudul-judefului-bihor.pdf,35,131,45,134,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,5,ARTICOLE MĂRUNTE,Enea Hodoş,"""Din activitatea mea de folklorist""",123,123,127,"C'est une intéressante réponse au questionnaire adressé par l'Archive aux plus notables folklo- ristes de l'ancienne génération. L'article apporte des renseignements précieux sur la maniére dont les matériaux étaient recueillis et publies, il y a 40 ou 50 ans, ainsi que des souvenirs sur les folkloristes disparus. ION.","interessante, reponse, questionnaire, adresse, notables","interessante, reponse, questionnaire, adresse, notables",yes,123,125,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/005-din-activitatea-mea-de-folklorist.pdf,123,136,135,139,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,6,ARTICOLE MĂRUNTE,Ion Muşlea,Practice magice şi denumirea lor în circularele epis- copeşti şi protopopeşti delà începutul veacului trecut,128,128,129,"L'auteur a trouvé dans le registre d'une paroisse du dép. de Brasov, plusieurs circulaires interdisant la pré- sence des prêtres lors de l’exhumation des cadavres de prétendus revenants, etc. On y trouve aussi la qualification de ,croyance vaine"" ou „superstitieuse”.","trouve, registre, paroisse, brasov, plusieurs","trouve, registre, paroisse, brasov, plusieurs",yes,128,129,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/006-practice-magice-si-denumirea-lor-in-circularele-epis-copesti-si-protopopesti-dela-inceputul-veacului-trecut.pdf,128,138,140,141,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,7,ARTICOLE MĂRUNTE,G H . Pavelescu,"Despre ""pasărea — suflet""",130,130,130,"Le manuscrit comprend des ‘chants et des ballades interessantes, du début du siècle dernier, otés par un élève d'école normale, Dimitrie Ardelean. Treize textes sont reproduits in extenso. - : Bibliographie du folklore roumain (années 1939—1943) (p. 140—198). QUE | San ae, - - > m’ s* >a 3, 7 5) nm!","manuscrit, comprend, chants, ballades, interessantes","manuscris, comprend, chants, ballades, interessantes",yes,131,139,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/007-despre-pasarea-suflet.pdf,130,139,142,142,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,8,ARTICOLE MĂRUNTE,Romulus Todoran,Poezii populare într'un manuscris ardelean din 1831,131,131,139,,"poezii, populare, intr, manuscris, ardelean","poezii, populare, intr, manuscris, ardelean",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/008-poezii-populare-intr-un-manuscris-ardelean-din-1831.pdf,131,148,143,151,yes
Seria I (1932-1945),aaf-seria1-1945-vol-vii,1945,VII,7,9,ARTICOLE MĂRUNTE,,Bibliografia folklorului românesc pe anii 1939—1943,140,140,,,"bibliografia, folklorului, romanesc, anii","bibliografia, folklorului, romanesc, anii",no,,,/Users/liviupop/Downloads/ojs_alternative_iafar/ingest/series1/BCUCLUJ_FP_490809_1945_007.pdf,3,210,ingest/series1/issues/aaf-seria1-1945-vol-vii/articles/009-bibliografia-folklorului-romanesc-pe-anii-1939-1943.pdf,140,206,152,209,yes
